"Tweets","Sentimen"
"performa jelek cocok jelek tekstur rusak emng dikirim udah hancur komplen maaf maaf maaf untung pembeli emng kotak pakingnya rusak slaahin kurir kotak bagus benyek pelit smaa bublewrap padhal udah oficiall udah shopee mall pelayanan buruk total","Negatif"
"berhubung fair produknya bagus pengiriman customer relationnya bobrok kirim produk pecah sobek sayang kalo produk bagus manajemen konsumennya jelek","Negatif"
"meronaa","Tral"
"celananya menyerap keringat alhasil dipake melipat tangan warna kulit cerah","Negatif"
"produk cacat dijual menceng garis lurus diajukan pengembalian barang chat bilangnya disetujui pengembalian dana chat nyalahin milih pengembalian dana kecewa banget karna beli berharap garis lurus sesuai ditawarkan karna dibuka seserahan store official beli kali","Negatif"
"biscuit enak pengiriman","Positif"
"udah langganan kleveru hati makasih","Positif"
"pengiriman cepat packing aman coklatnya enak bonus botol shaker kualitas botolnya","Positif"
"pengiriman seller gercep produk kulit bercahaya mengecilkan poriâ membantu pdhl prosedur penggunaan sesuai","Positif"
"cocok tahan tekstur kental performa kurirnya ramah ganti kurir","Positif"
"nyoba semoga cocok","Tral"
"keren dicoba bikin ombre gitu hehehe daily look seger","Positif"
"barangnya bagus jujur kecewa banget beli unit dapet bilangnya bonus sesuai ketersediaan stok hehehe bahasa ngeles","Negatif"
"barang lipstain warna restock dund","Positif"
"kali belanja bublenya niat banget pasang alhasil bocor tumpeh isinya","Negatif"
"paket time aman sayang warna nide sesuai image tertera photo hasilnya nude pink nude mendekati brown","Positif"
"mantap servis toko barang mengecewakan harga segitu mutu lumayan bagus","Negatif"
"coba boosternya pumpingnya barang lengkap aman","Positif"
"order pore blur powder admin sembarang ngomong kirim kosong complain toped barang masala","Positif"
"nyaman bibir","Positif"
"jengkel keterangannya same tracking lempar tanggal masuk logistik ekspedisi wahana cawang tanggal masuk logistik wahana","Negatif"
"pembelian bayar kiriman mahal penjual respon acara gagal penjual follow kiriman","Positif"
"variasi ivory kali beli produk bedak azzura sedih banget dibuka kemasan bedak hancur kaya gini bedak tabur mohon tingkatkan pengemasan","Negatif"
"nyoba semoga cocok","Tral"
"jelek oksidasi parah dipakai muka gelap nyesel belinya","Negatif"
"dihitung kotak talinya","Tral"
"kendaraan kinclong mantap","Positif"
"udah langganan sabunnya cocok muka trimaksih tokonya pelanyanan bagus abang kurir trimaksih mngantar pket slmat smpai tujuan melipat tangan warna kulit gelap","Positif"
"jalan memuaskan sedih","Negatif"
"pake bentar menit putus talinya udah","Negatif"
"belom dicoba semoga cocok pengiriman cepat","Tral"
"trimakasih serum diterima aman proses cepat semoga jerawat berkurang serum bonus facial cleanser moisturizing manta","Positif"
"pengiriman expired date","Positif"
"pesanan","Positif"
"produknya bagus adminny gaje","Positif"
"warna sesuai","Positif"
"warnanya pekat aplikator mudah dipakai","Positif"
"make removernya","Positif"
"mantap bingits","Positif"
"kotor stok","Negatif"
"cocok claim gift dikirim","Positif"
"barang terimakasih","Positif"
"wangi menyengat suka moringa","Negatif"
"thank sasc tint legendarisnya formulanya tjiamik warnanya cakep stainnya long lasting banget plus dapet flbioderma jumbonya","Negatif"
"cepet nyampainya smoga cocok","Positif"
"performa buruk cocok tekstur hancur percaya sampe bikin video unboxing aman beli ancuurr hahaha sedih bangeett gatau pengirimannya barbar gimana sedih banget beli ecommerce sebelah aman kali ancur huhuhu sedih banget kayaknya first time ngasih bintang","Negatif"
"wanginya suka","Positif"
"produk berkualitas pengiriman cepat sayang bonus serumnya habis","Negatif"
"sorry bintang service seller responsif informatif potensi high traffic diinfokan pembeli","Positif"
"performa sesuai cocok cocok kulit tekstur padat busa sesuai gambar","Positif"
"bagus sayang kuasnya","Tral"
"puas lipstik kadaluarsa sich","Positif"
"tekstur performa bgus cocok bulu mata bgus","Negatif"
"barang sesuai pesanan pesan dikirim kraft cheddar serbaguna kualitas beda","Negatif"
"tekstur keras kandungan susu efektivitas pengemasan pembayaran dikirim huhu beli doang ditingkatkan pelayanan biar okee overall produknya sesuai","Negatif"
"pengiriman pengemasan cepat notes tulis warna blush pink peach dikirim peach kali teliti emang warna","Negatif"
"pengaplikasian mudah hasilnya","Tral"
"barangnya pengemasannya luamaa","Negatif"
"produk kirimkan","Positif"
"kali dapet kaya gini","Negatif"
"barang pengirimannya bamgeett","Tral"
"pakingx rapi","Positif"
"murahh makasihh","Tral"
"performa hancur","Negatif"
"prtama cobain wanginya mintâ dikit selebihnya apaâ ngrasa lengket suka maaf wanginya suka","Negatif"
"packaging aman rapi","Positif"
"barang diterima aman sayang spray rembes teliti","Positif"
"warna sesuai request dikirim transparansi kedepannya teliti","Positif"
"alhamdulillah udah nyampe lumayan bagus sesuai pesanan inshaallah semoga cocok bermanfaat","Negatif"
"bagus banget barangnya","Positif"
"wangi buka pengalaman penggunaan kemasan baij sesuai pesan pesannya beli gratis sesuai mahal dibanding beli marah kasih bintang tokonya amanah kecewa bonusnya brosur","Negatif"
"warna hitam kenyamanan aplikator nyaman ketahanan bagus pensil alis terrbagus nyaman banget dipakai warnanya hitam pekat banget kayak natural gituu pokoknyaa baguus banget","Positif"
"dateng order admin tanggung dikirim","Negatif"
"expired aman barang aman terima kasih","Negatif"
"makasih kali mineral botanica promo dikasih hadiahnya","Positif"
"pengiriman barang sesuai harganya murahh","Positif"
"stok lamaa beras sudh bubuk butek packing udah kusam pudar dijahit mogaâ apek layak konsumsi","Negatif"
"kemasan hancur pengalaman penggunaan kali produk dikirim hancur terimakasih","Negatif"
"cintaa suncreen azarin","Negatif"
"pengirimannya","Tral"
"warna beda pict","Negatif"
"cocok dicoba tekstur dicoba performa dicoba pengiriman","Tral"
"cocok kaca mata pelapis lensa berpelapis rusak lensanya barangnya bagus pengiriman fungsi pembersihnya","Negatif"
"kecewa karna beli niatnya emng promo kagak dapet live bilang dapet gift preet bohong bnget","Positif"
"paket diterima good","Positif"
"bedaknya dapet puff huhu cushion make over glow pake bedak cocok wajahku","Negatif"
"salah mengirim warna kirim foto produk salah kirim warna komplain persulit customer video kirimkan video hitungan detik video simulasi silahkan menilai kualitas video bersembunyi dibalik kesalahan customer bodoh model penjual dimintain pertanggung kelas penjual berlabel official","Negatif"
"mintanya original blackpepper dikasihnya original","Positif"
"deskripsi tertulis kursi kulit pakai warna sofa kuli belel harga produk mahal pakai","Negatif"
"lumayan wangi","Positif"
"pesen step dtemg step","Negatif"
"lengkap dapet strip spatula gaada","Tral"
"banget hehe","Negatif"
"product came time perfect condition give stars because quality gloss itself high expectations just standard","Positif"
"mantap","Positif"
"performa tekstur cocok muka barangnya bagus sesuai gambar pengiriman cepat reseller","Positif"
"performa tutupnya kotor cocok tekstur matte","Negatif"
"tekstur lembut cocok kulit kusam performa bagus","Positif"
"beli kulit kering cocok pakai krim dingin lengket kulit jerawatan salah paka","Negatif"
"pengiriman","Tral"
"overall baguuss tekstur warnanya cakep puoll wangi melonnya strong","Positif"
"wangi","Positif"
"wangi kaya parfum cowok coklat engga ciri khas body mist","Positif"
"senang belanja trima kasih bonusnya","Positif"
"jajan dibuka lengket gimana pisahkanâ dipotong pakai pisau hancurâ gimana makannya beli","Negatif"
"barang selamat dipake direview","Positif"
"luntur cuci wajah langsung luntur","Negatif"
"berasnya kurng bagus bnyak gabah","Negatif"
"dateng udah hancur","Negatif"
"dihalaman complain","Tral"
"barang sesuai cuman sayang pengiriman telat","Negatif"
"sesuai gambar puas pokoknya","Positif"
"cocok anak kulit kering","Negatif"
"lucu kemasan mini trmksh","Positif"
"tekstur cair performa kentop benyok kemasan cocok kulit","Positif"
"kualitas bagus barang gram dikasih berat mahal mahalin ongkir","Negatif"
"kemasan segel kemasan menerima rusak","Negatif"
"gampang putus dipakai pelan tetep putus","Negatif"
"repurchase produk aubree good semoga kali cocok pakai produk bakuchiolnya mumpung diskon lumayan banget teksturnya creamy","Positif"
"kgak waterprof","Tral"
"pecah botolnya isinya bocor kemasan diperhatikan packing","Negatif"
"pesan pemberitahuan keterlambatan chat penjual","Positif"
"tekstur lumayan performa cocok kulit berjerawat mengandung salicylic acid bagus berjerawat make ngilangin komede kayaknya ngaruh apaâ","Positif"
"bagus warnanya lucu kopi","Positif"
"bagus fast response good packaging trusted recommended seller","Positif"
"barang","Tral"
"bagus banget creamatte bikin kering bibir warnanya bagus pengiriman cepat suka banget","Positif"
"gampang banget serap ngedibel langsung pakai cushion auto cantik aman sengatan sinar matahari semoga terjaga kualitasnya","Positif"
"kecepatan pengiriman kondisi barang sesuai terima kasih seller","Tral"
"enak dipakai kulit muka model rool praktis apply muka cocok kulit anak mahasiswi berminyak","Positif"
"kulit cerah","Positif"
"cepat meresap kulit dingin suka bismillah cocok","Positif"
"asli heran banget dearmebeauty jualan pampers order lipstick dear winna dateng pampers woee abis pikir siih parah","Negatif"
"produk nggak banget ekspedisinya anteraja lamaa nyasar","Negatif"
"bahannya tipis ngga rekomen bawa laptop thanks torch","Positif"
"beli navy nomor dikirim nomor okelah kasih ulasan bagus jujur produk bagus produk salahnya kasih orang pesa","Positif"
"bahannya enak ringan cepat meresap kulit talc","Positif"
"sejujurnya banner memiliki instruksi alasan claim efektif efisien tipe pembeli minim literasi full langsung dituliskan poster tolong diperbaiki sistemnya metode marketing terkesan menjebak memanfaatkan event harbolnas","Negatif"
"repurchase karna cocok warnanya enak dipake termurah makasih seller","Positif"
"hati beli seller amanah shopee mall udah cerita penilaian bintang","Negatif"
"baguuss banget","Tral"
"produk original brand olaif kualitas detergent aroma bunga busa packaging aman rapi pengiriman relatif cepat","Positif"
"produk memuaskan mengecewakan diaplikasikan bibir","Negatif"
"keputihan apapun shade","Positif"
"namanya sblm membeli chatt dijwb penjual chatt","Tral"
"wanginya enak seger","Positif"
"performa coverage banget kulit tekstur lembut halus cocok mata bagus banget suka pake shadow pink flash hati hati guys smpe jatuh aduhh langsung bubuk","Positif"
"ampuh flek hitam kerut halus kerasa panas awalny spot bjerawat udah aman packing rapi aman","Negatif"
"dapet gratisannya baca review trnyata senasib ditambah shampoonya tumpah bubble wrap","Negatif"
"pengiriman cepat semoga cocok","Tral"
"psnan smpi kmrin bsknya lngsng smpi responnya ramah free meteran kbtln kdng prlu hehehe pkkny","Positif"
"suka banget pakai kulit oilyku cuaca panas bikin gerah hasil matte","Negatif"
"bintang produk bermasalah diganti prosesnya dluar tokped","Negatif"
"adminnya ramah fast respon pengiriman cepat cashback produk","Positif"
"kakk udah gini","Negatif"
"tips pengguna untyk wajah manfaat melembabkan wangi terimakasih maaf penilaian barang bagus sesuai pengiriman standar paking rapih babble wrap tebal barang aman tujuan","Positif"
"alhamdulillah cocokk moist bgtt paginya cerah","Positif"
"kualitas produk berubah dibanding warna skrg muda","Positif"
"tahan touch pelengkap dikirim pelengkapnya","Positif"
"recomended next time pembelian pengiriman respond penjual text book membantu solved issue","Positif"
"thank free soap","Positif"
"tekstur cair daya serap cepat menyerap kulit dicoba iritasi semoga cocok","Positif"
"realpict hasil print mantap","Positif"
"dapet free niacinamide","Tral"
"diciba mudah cocok","Tral"
"keterengan kirim amanah tokonya","Negatif"
"sesuai pesanan kurirnya ramah","Positif"
"enak patut dcoba","Positif"
"ancur sihh","Negatif"
"barang bagus packing bagus expired pelayanan penjual abang kurir main lempar pensil alis sempet jatuh dibagian suka patah sayang","Negatif"
"pengiriman bagus penyok framenya barang cacat produksi kirim","Negatif"
"proses pengiriman cepat berfungsi","Positif"
"mantaplpll","Tral"
"pengemasan buruk pengalaman kali barang pecah","Negatif"
"seller gercep produk","Positif"
"kurir sicepat nganter paket dilempar ngelewatin pagar untung pecah isinya aman penyok","Negatif"
"akibat dibuble penyok heran packing beda beli beli penyok","Negatif"
"sukaa bonusnya sukses safi","Positif"
"packing aman mendarat selamat trimksh bonus","Positif"
"lapisan pantylinernya gampang copot","Positif"
"aplikator","Positif"
"pengiriman cepat packing","Positif"
"prosesnya barang","Tral"
"nggak dikirim gift","Negatif"
"serumnya sunscreennya kemana","Positif"
"pesen natural beige dikirimnya soft beige kali pesen sampe salah kirim gini","Negatif"
"pengiriman selebihnya moisturizer good","Positif"
"bagus kartu garansinya","Tral"
"barang sesuai diskripsi order produk kotak packing produk peny","Positif"
"digambar tertulis beli gratis ukuran diberitahu kalo free kalo stok tersedia botolnya bagus isinya retur kasi nilai jelek niat perubahan botolnya semoga niat memperbaiki kualitas botol pengemasanya penilaian berharap perubahan kedepannya","Negatif"
"barang seller","Tral"
"bagus beli ktny original tipis","Positif"
"kurinya chat plaet paket hilang","Negatif"
"barang aman semoga cocok terima kasih","Positif"
"nyampe barangnya kendala toko udah lupa belanjaan hikss","Negatif"
"cepat banget responnya cepat good luck","Positif"
"desainnya elegan aplikator mudah dipakai proses pesanan cepat penjualnya ramah banget packaging aman packaging rapi suka aubree selai","Positif"
"good product good seller","Positif"
"seller gercep produk bagus cocok dikulitku udah pakai produk kemasan packing rapi aman harga terjangkau ekspedisi super cepat gratis ongkir toped suks","Negatif"
"terimakasih giftnya","Positif"
"barang pengiriman mengecewakan estimasi mgunakan instant delivery order barang","Positif"
"barang sesuai pesanan berfungsi thanks","Positif"
"nyoba semoga cocok","Tral"
"dikirim kardus kali dikirim bubble foam kemasan penyok sungguh mengecewakan","Negatif"
"baut cocok pakai bracket mubazir terpakai","Negatif"
"coba barang aman packing double pakai rawan pecah","Positif"
"ngruh","Tral"
"keterangan dapet free lipstick mauve dapet haha stock abis dikonfirmasi","Negatif"
"berkurang kemerahan brutusan harga suka packaging mewah","Negatif"
"nail removernya ngga","Positif"
"warna gatahan baunya","Negatif"
"barang harga berbeda kali lipat mahal hati hati belanja penjual lepas tangan refund kelebihan","Positif"
"expect warnanya pink banget pink","Negatif"
"lipstik patah dibuka isinya bagus maaf pakai","Negatif"
"efek waterproof manfaat menambah volume bulu mata pengalaman penggunaan waterproof ralat penilaian krna dipakai waterproof toko beauty vlogger bohong pasang iklan pake keringetan ngaca mata hitam bekas mascara dipakai wudhu lgsg hitam melubwer hilanglah maskara bulu mataku sisa berbanding terbalik iklan sumpah pengen dipake sayang beli pengen dipake takut mata hitam nnti haduuh mubazir mending beli bner bagus wlopun pricey terbukti long lasting waterproof llin harga kualitas","Negatif"
"gambar gratisnya dateng","Positif"
"pesanan sesuai banget bikin kecewa","Negatif"
"sesuai pesanan semoga awet","Positif"
"produk diterima sesuai lengkap pake keluhan kulit textur produk nyaman kulit kuat mengganggu","Positif"
"paketnya dibungkus pakai beli pampers mamy poko dusnya","Positif"
"produk mini size sheet mask bundle satupun sesuai keterangan gambar","Positif"
"suka formulanya barunya wardah honey lipstick discontinued nangis help","Negatif"
"keren alhamdulillah murah","Positif"
"respon penjual cepat pengiriman cepat produk original real official store","Positif"
"kecewa barang dipesen lengkap toko official orang dikirimin barang lengkap didiemin sengaja biar dananya dibalikin","Negatif"
"kemasan gampang bocor","Negatif"
"sesuai gambar","Negatif"
"langsung dipasang semoga nyaman dipakai bkin mlorot makasih","Positif"
"terimakasih paketnya rapih dilapis pelindung produk bagus","Positif"
"pengemasan pengiriman barang","Positif"
"pelayanannya banget pesan april dikirim rumah kardusnya sobek pikir ilang isinya alhamdulillah aman mohon tingkatkan pelayanannya","Positif"
"barang sampe amburadul berantakan tutupny smpe lepas isiny tumpah","Negatif"
"pengirimannya lelet banget moisturaizer coba semoga cocok kulit","Positif"
"cocok kulit","Tral"
"dipasang copot","Tral"
"kemasan bubblewrap super tebel finally sampe first pakek produk somethinc semoga cocok repurchase harganya much semoga worth","Positif"
"teksturnya cair banget cepet nyerep melembabkan","Positif"
"masya allah puas banget pokoknya pengemasan pengiriman super cepat pesan malem libur besok sore bandung pengemasan produk super","Positif"
"barangnya gaada","Tral"
"cocok banget kulit kering enak lembab segar","Negatif"
"lecet dikit ngaruh","Negatif"
"pini penyok","Negatif"
"beli launching bela dapet photocard hrsny collab taulah bikin cust tertarik beli pake beli collab","Positif"
"barang bagus sayang penjual menghargai pembeli chat balas harga barang mahal penjual membalas chat","Negatif"
"pengiriman","Tral"
"mobil gasnya","Tral"
"segelnya udah kebuka ragu pake takut udah dalamnya","Negatif"
"bedak cocok bagun bedaknya putih aneh kayak salah pilih","Negatif"
"barang nyampe aman pengiriman","Positif"
"bleber beatiee","Tral"
"sukaa warna cantik banget","Positif"
"paket sesuai estimasi terima lasih seller","Positif"
"kering kuas","Tral"
"tekstur pecah performa bagus pecahh sedih","Negatif"
"barangnya type rawan penyok baret retak gitu packingnya extra cuman beli thankyouu semoga beneran bagus produknya","Positif"
"order produk sesuai aplikasi bonus mantab","Negatif"
"wajah ketarik make semoga cocok amin","Negatif"
"pelayanan pengiriman bagus kualitas barang terjamin","Positif"
"terima kasih seller terima kasih kulir brng sampe","Positif"
"isinya full wangi ketahanan","Positif"
"sempit kalo jenis gagang kacamata silicon barang","Negatif"
"gimmick gift kecewa","Tral"
"semoga cocok sprt concealernya suka terima kasih bonus pensil alisnya syang cklt","Positif"
"tekstur cair performa bagus cocok acne babel wrapnya tebel aman barang dalamnya buka serumnya udah kemanaâ mbasahin serumnya balikin tumpahnya video unboxingnya sengaja kehapus barang tetep terima kali tolong ngirimnya teliti","Negatif"
"belinya harga diskon bayarnyabharga full kembalikan barang terlanjur klik terima chat penjual shopee solusi kecewa harga lipat berharap karna shopee mall pelayanannya toko perorangan terbalik","Negatif"
"cocok remaja tekstur cair performa sesuai warna arah pink condong marah sesuai gambar bibir berbeda efek","Positif"
"puas pelayanan beli ditrm proses user segi produk prnh","Positif"
"harga masuk akal kemasan tipis hancur pecah berantakan manfaat refund diganti dikembalikan pecah pecah berantakan refund dikembalikan pecah pelayanan sangatt sangatt buruk","Positif"
"suaranya pecah","Positif"
"daya serap cepat tekstur serum efektivitas lumayan diaku komedeoan jerawatan muka berminyak menggunakannya minggu repurchase","Positif"
"produknya dicoba pesanan diprosesnya diproses","Tral"
"kemasan pesen pack dateng pack hdhh","Negatif"
"pigmented warnya bagus cuman dateng pecah","Positif"
"profil kecantikan cocok jenis warna kulit kemasan kemasannya rapih","Positif"
"ngangkat kotoran dimukasih claimnya angkat sunscreen pakai merk keangkat jdinya kulit jerawatan bersih","Positif"
"kirim green sesuai gambar","Positif"
"lembut wangi segar","Positif"
"terima kasih kirimannya dicoba lumayan bersih kuping kucingku","Positif"
"barang dikirim salah","Positif"
"admin koperatif beli chetapil official","Positif"
"pesan barang cuman","Negatif"
"pengiriman lumayan okay varian mambo warnanya coklat dicoba warnanya merah maroon gitu","Positif"
"ukuran celana nggak sesuai size ukuran","Negatif"
"sumpah ketemu masker sekering masker topeng basah doank brand erha barangnya separah","Negatif"
"done full bottle deliver only slight better result repurchase","Positif"
"barang bagus ponya ditulisin keterangan barang","Negatif"
"bagus banget bener ngangkat daki hati penggunaan wajah","Negatif"
"hasilnya coba semoga memperbanyak","Positif"
"pesanan sesuai pesan pump refill","Positif"
"hasil tahan warnanya","Negatif"
"pembelian bahagianyaa dikasih gratisan micro brow definer warna espresso juara warnanya garis langsung keliatan harga","Negatif"
"cocok sehari pake foundie udah bagus","Positif"
"pengiriman tutup eyeliner beli cepet meleber","Negatif"
"ukuran sesuai bagus banget cantik expired date kalo aktifkan kurir rekomendasi telat minimal sehari","Positif"
"pesen bright clear dateng mate fresh","Negatif"
"beli cacat","Tral"
"expired","Negatif"
"bohong free hadiahnya","Tral"
"tekstur performa cocok sebenernya membatalkan karna salah pilih shade respon","Negatif"
"tekstur daya serap efektivitas","Negatif"
"dibuka patah","Positif"
"pengiriman rest good","Positif"
"mantab beli lipstik bonus serum terima kasih","Positif"
"kali beli bahan cepet copot kali dibuka udah lepas bahannya ringkih kebanting","Positif"
"kali kecewa trhdap pengiriman minggu pengiriman jakarta lamaa lhoo smpe pling pengiriman tegal bawa jakarta dsini pikir masuk akal pengiriman disesuaikan lokasi maping","Negatif"
"cocok kulit menutup minyak noda wajah","Positif"
"warnanya sesuai gambar","Positif"
"pengemasan pengiriman gercep coba semoga cocok cocok bintangnya tambahin","Positif"
"diterima kondisi cacat komplain lupa pake video beuh","Tral"
"beli emng ngefek sihh ngebantu program diet emng barengin olahraga sihh biar cepet turunnya nyoba olahra","Positif"
